slug,title,metaDescription,h1,description,keywords
blood-biomarker-test,"Blood Biomarker Test – Biohacker Tests","Discover how our Blood Biomarker Test helps biohackers track health and longevity.","Blood Biomarker Test","Measure key blood biomarkers like cholesterol, glucose, and inflammation markers to optimize your health and longevity.","blood biomarker, blood test for biohackers, longevity test, health tracking"
sleep-optimization-test,"Sleep Optimization Test – Biohacker Tests","Improve sleep quality with our Sleep Optimization Test and wake up energized.","Sleep Optimization Test","Learn which factors impact your sleep and get actionable insights to boost rest, recovery, and performance.","sleep optimization, biohacker sleep test, better sleep, circadian rhythm"
gut-microbiome-test,"Gut Microbiome Test – Biohacker Tests","Discover the bacteria in your gut and how they affect mood, digestion, and health.","Gut Microbiome Test","Analyze your gut microbiome composition to improve digestion, immunity, and mental clarity.","gut microbiome, gut health test, microbiome analysis, biohacker gut test"
dna-genetics-test,"DNA Genetics Test – Biohacker Tests","Understand your genetics to make smarter decisions about health and lifestyle.","DNA Genetics Test","Get a full genetic breakdown to personalize nutrition, training, and longevity strategies.","genetic test, dna biohacker, health genetics, personalized health"
hormone-panel-test,"Hormone Panel Test – Biohacker Tests","Check testosterone, estrogen, cortisol, and more to optimize hormones naturally.","Hormone Panel Test","Identify hormonal imbalances that impact energy, mood, and recovery so you can correct them.","hormone test, testosterone test, cortisol, endocrine health, biohacker hormones"
metabolic-fitness-test,"Metabolic Fitness Test – Biohacker Tests","Discover how your body burns fat and carbs with this metabolic test.","Metabolic Fitness Test","Measure metabolic flexibility and resting metabolic rate to design the perfect diet and workout plan.","metabolic test, rmr test, metabolic flexibility, calorie burning"
food-sensitivity-test,"Food Sensitivity Test – Biohacker Tests","Identify food sensitivities and reduce inflammation with this easy test.","Food Sensitivity Test","Pinpoint trigger foods that may cause fatigue, brain fog, or bloating.","food sensitivity, food intolerance test, elimination diet, biohacker diet"
cognitive-performance-test,"Cognitive Performance Test – Biohacker Tests","Measure focus, memory, and reaction time with this neuroscience-based test.","Cognitive Performance Test","Track your cognitive function over time and see how nootropics or lifestyle changes affect your brain.","cognitive test, reaction time test, brain performance, nootropics"
vitamin-mineral-panel,"Vitamin & Mineral Panel – Biohacker Tests","Find nutrient deficiencies that impact energy and immunity.","Vitamin & Mineral Panel","Test your levels of key vitamins and minerals to optimize supplementation.","vitamin test, micronutrient panel, deficiency test, biohacker supplements"
cardiovascular-health-test,"Cardiovascular Health Test – Biohacker Tests","Check cholesterol, triglycerides, and other heart health markers.","Cardiovascular Health Test","Understand your heart health and reduce long-term risk factors with actionable data.","cholesterol test, heart health, cardiovascular risk, lipid panel"
stress-resilience-test,"Stress Resilience Test – Biohacker Tests","Measure stress hormones and recovery capacity to improve resilience.","Stress Resilience Test","Identify your body's stress response and develop better recovery protocols.","stress test, cortisol test, biohacker recovery, stress resilience"
longevity-biomarker-test,"Longevity Biomarker Test – Biohacker Tests","Track aging biomarkers like telomere length and epigenetic age.","Longevity Biomarker Test","Understand biological age vs. chronological age and slow aging with data-driven interventions.","longevity test, biological age test, telomere test, anti-aging biohacker"
inflammation-marker-test,"Inflammation Marker Test – Biohacker Tests","Measure CRP and other inflammation markers to reduce chronic disease risk.","Inflammation Marker Test","Track your inflammation levels and adjust diet, exercise, and supplements for better health.","crp test, inflammation test, hs-crp, chronic disease prevention"
detoxification-capacity-test,"Detoxification Capacity Test – Biohacker Tests","Measure liver detox enzymes and heavy metal load.","Detoxification Capacity Test","Understand how efficiently your body clears toxins and how to support detox pathways.","detox test, liver test, heavy metals, biohacker detox"
immune-function-test,"Immune Function Test – Biohacker Tests","Check immune cell counts and antibody levels for optimal defense.","Immune Function Test","Get insights into immune strength and adapt lifestyle to prevent illness.","immune system test, antibody test, immune health, biohacker immunity"
insulin-sensitivity-test,"Insulin Sensitivity Test – Biohacker Tests","Measure insulin and glucose response to optimize metabolic health.","Insulin Sensitivity Test","Prevent metabolic syndrome by tracking insulin resistance early.","insulin resistance, glucose test, metabolic health, diabetes prevention"
mitochondrial-function-test,"Mitochondrial Function Test – Biohacker Tests","Understand your cellular energy production for better performance.","Mitochondrial Function Test","Test mitochondrial health to improve energy, endurance, and recovery.","mitochondria test, energy test, cellular function, biohacker energy"
lipid-subfraction-test,"Lipid Subfraction Test – Biohacker Tests","Advanced cholesterol particle analysis for deeper insights.","Lipid Subfraction Test","Move beyond basic cholesterol tests to get a detailed lipoprotein profile.","lipoprotein test, ldl particle size, advanced cholesterol test"
testosterone-optimization-test,"Testosterone Optimization Test – Biohacker Tests","Measure testosterone and related hormones for peak performance.","Testosterone Optimization Test","Track hormone levels over time and see how training, diet, and supplements affect them.","testosterone test, male health, hormone optimization, androgens"
thyroid-function-test,"Thyroid Function Test – Biohacker Tests","Check TSH, T3, and T4 levels to assess thyroid health.","Thyroid Function Test","Identify underactive or overactive thyroid and support energy metabolism.","thyroid test, tsh test, hypothyroidism, hyperthyroidism, metabolism"
